frame.time_epoch,ip.src,ip.dst,dns.qry.name,http.host,tls.handshake.extensions_server_name
1762227694.270772000,10.157.172.144,10.157.172.129,memex-pa.googleapis.com,,
1762227694.272602000,10.157.172.144,10.157.172.129,memex-pa.googleapis.com,,
1762227694.287969000,10.157.172.144,10.157.172.129,clientservices.googleapis.com,,
1762227694.288971000,10.157.172.144,10.157.172.129,clientservices.googleapis.com,,
1762227694.299463000,10.157.172.129,10.157.172.144,memex-pa.googleapis.com,,
1762227694.311353000,10.157.172.129,10.157.172.144,memex-pa.googleapis.com,,
1762227694.311353000,10.157.172.129,10.157.172.144,clientservices.googleapis.com,,
1762227694.311353000,10.157.172.129,10.157.172.144,clientservices.googleapis.com,,
1762227694.316098000,10.157.172.144,10.157.172.129,memex-pa.googleapis.com.mshome.net,,
1762227694.316422000,10.157.172.144,10.157.172.129,clientservices.googleapis.com.mshome.net,,
1762227694.344579000,10.157.172.144,142.250.183.234,,,memex-pa.googleapis.com
1762227694.375322000,,,clientservices.googleapis.com.mshome.net,,
1762227694.375487000,,,memex-pa.googleapis.com.mshome.net,,
1762227694.396741000,10.157.172.129,10.157.172.144,memex-pa.googleapis.com.mshome.net,,
1762227694.396741000,10.157.172.129,10.157.172.144,clientservices.googleapis.com.mshome.net,,
1762227694.426416000,10.157.172.144,142.251.220.35,,,clientservices.googleapis.com
1762227694.437287000,,,clientservices.googleapis.com.mshome.net,,
1762227694.446371000,,,memex-pa.googleapis.com.mshome.net,,
1762227694.603984000,10.157.172.144,142.250.183.234,,,memex-pa.googleapis.com
1762227694.605367000,10.157.172.144,10.157.172.129,o33249.ingest.sentry.io,,
1762227694.650516000,10.157.172.129,10.157.172.144,o33249.ingest.sentry.io,,
1762227694.706227000,10.157.172.144,34.120.195.249,,,o33249.ingest.sentry.io
1762227694.721793000,10.157.172.144,10.157.172.129,android.chat.openai.com,,
1762227694.725940000,10.157.172.144,10.157.172.129,0.datadog.pool.ntp.org,,
1762227694.776211000,,,0.datadog.pool.ntp.org,,
1762227694.776418000,,,android.chat.openai.com,,
1762227694.781009000,10.157.172.129,10.157.172.144,0.datadog.pool.ntp.org,,
1762227694.781009000,10.157.172.129,10.157.172.144,android.chat.openai.com,,
1762227694.831229000,10.157.172.144,10.157.172.129,browser-intake-datadoghq.com,,
1762227694.833086000,,,android.chat.openai.com,,
1762227694.833086000,,,0.datadog.pool.ntp.org,,
1762227694.893775000,,,browser-intake-datadoghq.com,,
1762227694.906862000,10.157.172.129,10.157.172.144,browser-intake-datadoghq.com,,
1762227694.911559000,,,browser-intake-datadoghq.com,,
1762227694.920765000,10.157.172.144,142.250.207.163,,,www.gstatic.com
1762227694.956503000,10.157.172.144,172.64.155.214,,,android.chat.openai.com
1762227695.262504000,10.157.172.144,3.233.158.26,,,browser-intake-datadoghq.com
1762227695.405205000,10.157.172.144,104.18.32.47,,,chatgpt.com
1762227695.571860000,10.157.172.144,104.18.32.47,,,chatgpt.com
1762227695.744303000,10.157.172.144,10.157.172.129,cdn.oaistatic.com,,
1762227695.748387000,10.157.172.144,10.157.172.129,cdn.oaistatic.com,,
1762227695.768494000,10.157.172.129,10.157.172.144,cdn.oaistatic.com,,
1762227695.809551000,10.157.172.129,10.157.172.144,cdn.oaistatic.com,,
1762227695.827057000,10.157.172.144,10.157.172.129,cdn.oaistatic.com.mshome.net,,
1762227695.879270000,,,cdn.oaistatic.com.mshome.net,,
1762227695.929217000,10.157.172.129,10.157.172.144,cdn.oaistatic.com.mshome.net,,
1762227696.010578000,,,cdn.oaistatic.com.mshome.net,,
1762227696.032315000,10.157.172.144,104.18.41.158,,,cdn.oaistatic.com
1762227696.096475000,10.157.172.144,104.18.41.158,,,cdn.oaistatic.com
1762227696.161099000,10.157.172.144,104.18.41.158,,,cdn.oaistatic.com
1762227696.161171000,10.157.172.144,104.18.41.158,,,cdn.oaistatic.com
1762227696.161218000,10.157.172.144,104.18.41.158,,,cdn.oaistatic.com
1762227696.161519000,10.157.172.144,104.18.41.158,,,cdn.oaistatic.com
1762227696.167145000,10.157.172.144,104.18.41.158,,,cdn.oaistatic.com
1762227696.169982000,10.157.172.144,104.18.41.158,,,cdn.oaistatic.com
1762227696.621472000,10.157.172.144,104.18.41.158,,,cdn.oaistatic.com
1762227696.705635000,10.157.172.144,10.157.172.129,www.youtube.com,,
1762227696.708796000,10.157.172.144,10.157.172.129,ab.chatgpt.com,,
1762227696.710964000,10.157.172.144,10.157.172.129,ab.chatgpt.com,,
1762227696.770684000,,,www.youtube.com,,
1762227696.778460000,10.157.172.144,104.18.41.158,,,cdn.oaistatic.com
1762227696.784856000,,,ab.chatgpt.com,,
1762227696.785026000,,,ab.chatgpt.com,,
1762227696.803883000,10.157.172.129,10.157.172.144,ab.chatgpt.com,,
1762227696.803883000,10.157.172.129,10.157.172.144,www.youtube.com,,
1762227696.803883000,10.157.172.129,10.157.172.144,ab.chatgpt.com,,
1762227696.803883000,,,ab.chatgpt.com,,
1762227696.911773000,,,ab.chatgpt.com,,
1762227696.911773000,,,www.youtube.com,,
1762227697.008040000,10.157.172.144,10.157.172.129,ab.chatgpt.com.mshome.net,,
1762227697.029779000,10.157.172.144,10.157.172.129,content-autofill.googleapis.com,,
1762227697.030634000,10.157.172.144,10.157.172.129,content-autofill.googleapis.com,,
1762227697.074170000,,,ab.chatgpt.com.mshome.net,,
1762227697.103594000,,,content-autofill.googleapis.com,,
1762227697.103798000,,,content-autofill.googleapis.com,,
1762227697.112268000,10.157.172.129,10.157.172.144,content-autofill.googleapis.com,,
1762227697.116256000,10.157.172.129,10.157.172.144,content-autofill.googleapis.com,,
1762227697.116256000,10.157.172.129,10.157.172.144,ab.chatgpt.com.mshome.net,,
1762227697.193843000,,,content-autofill.googleapis.com,,
1762227697.235335000,10.157.172.144,172.64.155.209,,,ab.chatgpt.com
1762227697.260636000,10.157.172.144,172.64.155.209,,,ab.chatgpt.com
1762227697.263494000,,,content-autofill.googleapis.com,,
1762227697.263494000,,,ab.chatgpt.com.mshome.net,,
1762227697.264982000,10.157.172.144,10.157.172.129,content-autofill.googleapis.com.mshome.net,,
1762227697.342450000,,,content-autofill.googleapis.com.mshome.net,,
1762227697.370516000,10.157.172.129,10.157.172.144,content-autofill.googleapis.com.mshome.net,,
1762227697.429202000,,,content-autofill.googleapis.com.mshome.net,,
1762227697.441469000,10.157.172.144,172.217.174.78,,,www.youtube.com
1762227697.442514000,10.157.172.144,172.217.174.78,,,www.youtube.com
1762227697.514232000,10.157.172.144,216.58.200.170,,,content-autofill.googleapis.com
1762227697.720069000,10.157.172.144,10.157.172.129,api.revenuecat.com,,
1762227697.770037000,10.157.172.144,172.64.155.209,,,ab.chatgpt.com
1762227697.773246000,,,api.revenuecat.com,,
1762227697.791413000,10.157.172.129,10.157.172.144,api.revenuecat.com,,
1762227697.836659000,,,api.revenuecat.com,,
1762227697.916883000,10.157.172.144,172.64.155.209,,,ab.chatgpt.com
1762227698.191007000,10.157.172.144,18.67.195.42,,,api.revenuecat.com
1762227698.533911000,10.157.172.144,172.64.155.214,,,android.chat.openai.com
1762227698.534300000,10.157.172.144,172.64.155.209,,,ab.chatgpt.com
1762227698.534317000,10.157.172.144,172.64.155.209,,,ab.chatgpt.com
1762227698.791591000,10.157.172.144,172.64.155.214,,,android.chat.openai.com
1762227698.889041000,10.157.172.144,172.217.174.78,,,www.youtube.com
1762227700.553072000,10.157.172.144,57.144.242.141,,,graph.facebook.com
1762227701.057108000,10.157.172.144,142.250.193.110,,,play-fe.googleapis.com
1762227701.609470000,10.157.172.144,10.157.172.129,optimizationguide-pa.googleapis.com,,
1762227701.640753000,10.157.172.129,10.157.172.144,optimizationguide-pa.googleapis.com,,
1762227701.664646000,10.157.172.144,10.157.172.129,optimizationguide-pa.googleapis.com.mshome.net,,
1762227701.705186000,10.157.172.129,10.157.172.144,optimizationguide-pa.googleapis.com.mshome.net,,
1762227701.711379000,10.157.172.144,142.251.222.74,,,optimizationguide-pa.googleapis.com
1762227701.749855000,10.157.172.144,10.157.172.129,clients4.google.com,,
1762227701.756827000,10.157.172.144,10.157.172.129,clients4.google.com,,
1762227701.782322000,10.157.172.129,10.157.172.144,clients4.google.com,,
1762227701.790642000,10.157.172.129,10.157.172.144,clients4.google.com,,
1762227701.850396000,10.157.172.144,142.250.193.14,,,clients4.google.com
1762227701.942324000,10.157.172.144,10.157.172.129,i.ytimg.com,,
1762227701.969387000,10.157.172.129,10.157.172.144,i.ytimg.com,,
1762227701.986926000,10.157.172.144,142.250.193.14,,,clients4.google.com
1762227702.029299000,10.157.172.144,142.250.76.214,,,i.ytimg.com
